Timestamp,Face_Detected,Class,Computational_Time
2024-11-19 12:59:55.350477,1,2,0.0042
2024-11-19 12:59:55.391201,1,2,0.0068
2024-11-19 12:59:55.432994,1,2,0.0044
2024-11-19 12:59:55.469226,1,2,0.0050
2024-11-19 12:59:55.513030,1,2,0.0053
2024-11-19 12:59:55.548551,1,2,0.0058
2024-11-19 12:59:55.584520,1,2,0.0057
2024-11-19 12:59:55.618536,1,2,0.0061
2024-11-19 12:59:55.653328,1,2,0.0050
2024-11-19 12:59:55.686509,1,2,0.0051
2024-11-19 12:59:55.722532,1,2,0.0036
2024-11-19 12:59:55.757419,1,2,0.0066
2024-11-19 12:59:55.797402,1,2,0.0049
2024-11-19 12:59:55.834100,1,2,0.0060
2024-11-19 12:59:55.868860,1,2,0.0026
2024-11-19 12:59:55.904369,1,2,0.0060
2024-11-19 12:59:55.938890,1,2,0.0046
2024-11-19 12:59:55.979725,1,2,0.0031
2024-11-19 12:59:56.012683,1,2,0.0055
2024-11-19 12:59:56.052991,1,2,0.0058
2024-11-19 12:59:56.088290,1,2,0.0052
2024-11-19 12:59:56.125197,1,2,0.0064
2024-11-19 12:59:56.157714,1,2,0.0050
2024-11-19 12:59:56.194157,1,2,0.0052
2024-11-19 12:59:56.236924,1,2,0.0034
2024-11-19 12:59:56.270688,1,2,0.0046
2024-11-19 12:59:56.302502,1,2,0.0057
2024-11-19 12:59:56.349383,1,2,0.0035
2024-11-19 12:59:56.384068,1,1,0.0046
2024-11-19 12:59:56.417805,1,1,0.0037
2024-11-19 12:59:56.450131,1,1,0.0050
2024-11-19 12:59:56.491628,1,1,0.0038
2024-11-19 12:59:56.533960,1,1,0.0033
2024-11-19 12:59:56.567271,1,1,0.0050
2024-11-19 12:59:56.603897,1,1,0.0060
2024-11-19 12:59:56.639160,1,1,0.0045
2024-11-19 12:59:56.671966,1,1,0.0048
2024-11-19 12:59:56.721771,1,3,0.0076
2024-11-19 12:59:56.762280,1,1,0.0061
2024-11-19 12:59:56.800812,1,1,0.0047
2024-11-19 12:59:56.836811,1,3,0.0047
2024-11-19 12:59:56.887596,1,3,0.0047
2024-11-19 12:59:56.927321,1,3,0.0070
2024-11-19 12:59:56.970937,1,3,0.0052
2024-11-19 12:59:57.006739,1,3,0.0062
2024-11-19 12:59:57.040080,1,3,0.0041
2024-11-19 12:59:57.081948,1,3,0.0049
2024-11-19 12:59:57.117853,1,3,0.0069
2024-11-19 12:59:57.153127,1,3,0.0067
2024-11-19 12:59:57.187223,1,3,0.0057
2024-11-19 12:59:57.221218,1,3,0.0050
2024-11-19 12:59:57.262554,1,3,0.0047
2024-11-19 12:59:57.319394,1,3,0.0072
2024-11-19 12:59:57.368453,1,3,0.0086
2024-11-19 12:59:57.424633,1,3,0.0056
2024-11-19 12:59:57.456004,1,3,0.0013
2024-11-19 12:59:57.498413,1,3,0.0054
2024-11-19 12:59:57.545890,1,3,0.0048
2024-11-19 12:59:57.590567,1,3,0.0058
2024-11-19 12:59:57.625818,1,3,0.0058
2024-11-19 12:59:57.660754,1,3,0.0069
2024-11-19 12:59:57.689417,1,3,0.0040
2024-11-19 12:59:57.723251,1,3,0.0064
2024-11-19 12:59:57.757479,1,3,0.0056
2024-11-19 12:59:57.791109,1,3,0.0051
2024-11-19 12:59:57.827972,1,3,0.0053
2024-11-19 12:59:57.866575,1,3,0.0060
